source,target
0,1705
1705,0
0,1706
1706,0
0,1707
1707,0
1,1708
1708,1
1,1709
1709,1
1,1710
1710,1
1,1711
1711,1
1,1712
1712,1
1,1713
1713,1
1,1714
1714,1
1,1715
1715,1
1,1716
1716,1
1,1717
1717,1
1,1718
1718,1
1,1719
1719,1
1,1720
1720,1
1,1721
1721,1
1,1722
1722,1
1,1723
1723,1
1,1724
1724,1
1,1725
1725,1
1,1726
1726,1
1,1727
1727,1
2,1728
1728,2
2,1729
1729,2
2,1730
1730,2
2,1731
1731,2
2,1732
1732,2
2,1733
1733,2
3,1734
1734,3
3,1735
1735,3
3,1736
1736,3
3,1737
1737,3
3,1738
1738,3
3,1739
1739,3
3,1740
1740,3
3,1741
1741,3
3,1742
1742,3
3,1743
1743,3
3,1744
1744,3
3,1745
1745,3
3,1746
1746,3
3,1747
1747,3
3,1748
1748,3
3,1749
1749,3
3,1750
1750,3
3,1751
1751,3
3,1752
1752,3
3,1753
1753,3
3,1741
1741,3
3,1735
1735,3
3,1738
1738,3
3,1737
1737,3
3,1736
1736,3
3,1740
1740,3
3,1742
1742,3
3,1744
1744,3
3,1743
1743,3
3,1752
1752,3
3,1748
1748,3
3,1746
1746,3
3,1745
1745,3
3,1747
1747,3
3,1749
1749,3
3,1750
1750,3
3,1754
1754,3
3,1755
1755,3
3,1756
1756,3
4,1708
1708,4
4,1757
1757,4
4,1714
1714,4
4,1758
1758,4
4,1715
1715,4
4,1717
1717,4
4,1759
1759,4
4,1724
1724,4
4,1760
1760,4
4,1761
1761,4
4,1762
1762,4
4,1763
1763,4
4,1764
1764,4
4,1765
1765,4
5,1766
1766,5
5,1767
1767,5
5,1768
1768,5
5,1769
1769,5
5,1770
1770,5
5,1771
1771,5
5,1772
1772,5
5,1773
1773,5
5,1774
1774,5
6,1775
1775,6
6,1776
1776,6
6,1777
1777,6
7,7
8,1778
1778,8
8,1779
1779,8
8,1780
1780,8
8,1781
1781,8
8,1782
1782,8
9,9
10,1783
1783,10
10,1784
1784,10
10,1716
1716,10
10,1719
1719,10
10,1785
1785,10
10,1786
1786,10
11,1787
1787,11
11,1788
1788,11
11,1789
1789,11
11,1790
1790,11
11,1791
1791,11
11,1792
1792,11
11,1793
1793,11
11,1794
1794,11
11,1795
1795,11
11,1796
1796,11
12,1797
1797,12
12,1798
1798,12
12,1799
1799,12
12,1800
1800,12
12,1801
1801,12
12,1802
1802,12
12,1803
1803,12
12,1804
1804,12
13,1805
1805,13
13,1806
1806,13
13,1807
1807,13
13,1808
1808,13
14,1708
1708,14
14,1809
1809,14
14,1757
1757,14
14,1709
1709,14
14,1810
1810,14
14,1710
1710,14
14,1711
1711,14
14,1811
1811,14
14,1712
1712,14
14,1713
1713,14
14,1812
1812,14
14,1813
1813,14
14,1715
1715,14
14,1771
1771,14
14,1717
1717,14
14,1814
1814,14
14,1718
1718,14
14,1720
1720,14
14,1721
1721,14
14,1722
1722,14
14,1724
1724,14
14,1725
1725,14
14,1815
1815,14
14,1716
1716,14
14,1719
1719,14
14,1723
1723,14
14,1816
1816,14
14,1817
1817,14
14,1818
1818,14
15,1710
1710,15
15,1711
1711,15
15,1760
1760,15
16,1819
1819,16
16,1741
1741,16
16,1820
1820,16
16,1821
1821,16
16,1822
1822,16
16,1823
1823,16
16,1824
1824,16
17,1710
1710,17
17,1825
1825,17
18,1716
1716,18
18,1719
1719,18
18,1723
1723,18
18,1826
1826,18
18,1827
1827,18
18,1828
1828,18
18,1829
1829,18
18,1830
1830,18
