number,target
1705,Q06187
1706,P09110
1707,Q12874
1708,P21728
1709,P21918
1710,P08913
1711,P08908
1712,P18825
1713,P21917
1714,P41595
1715,P28223
1716,P35348
1717,P28335
1718,P18089
1719,P35368
1720,P35462
1721,P34969
1722,P28221
1723,P25100
1724,P14416
1725,P28222
1726,P36888
1727,P21731
1728,P10275
1729,P07288
1730,O15217
1731,P00183
1732,P01584
1733,P17812
1734,P24046
1735,P47869
1736,P31644
1737,P48169
1738,P34903
1739,P30536
1740,Q16445
1741,P14867
1742,P18505
1743,P28472
1744,P47870
1745,P18507
1746,Q8N1C3
1747,Q99928
1748,P78334
1749,O00591
1750,Q9UN88
1751,P28476
1752,O14764
1753,A8MPY1
1754,P04424
1755,Q15120
1756,P83792
1757,P11229
1758,P22303
1759,P31645
1760,P21397
1761,Q9NSD9
1762,P11349
1763,P20292
1764,P09884
1765,Q8WWL2
1766,Q9H244
1767,P43119
1768,Q03181
1769,O43613
1770,Q01718
1771,P28566
1772,Q9K2N0
1773,P19784
1774,P12883
1775,Q9RME2
1776,Q9RA47
1777,Q7Z4J2
1778,P00742
1779,C0H5C2
1780,P02925
1781,P82543
1782,P67870
1783,Q05940
1784,P23975
1785,Q01959
1786,Q96RJ0
1787,P00915
1788,P00918
1789,P55017
1790,P22748
1791,Q12791
1792,Q9P286
1793,P65389
1794,P45059
1795,P05187
1796,P05129
1797,P07437
1798,P05412
1799,Q71U36
1800,Q9UJT1
1801,Q9UJT0
1802,P23258
1803,P03891
1804,Q13153
1805,P35372
1806,P30926
1807,P32297
1808,P98002
1809,P20309
1810,P08912
1811,P46098
1812,P08173
1813,P35367
1814,P08172
1815,P50406
1816,Q9Y2U5
1817,P21589
1818,Q83JC4
1819,Q14654
1820,Q15842
1821,Q02192
1822,P19652
1823,Q9HCP0
1824,P84098
1825,O34667
1826,P03706
1827,Q81ZL8
1828,Q02252
1829,P21631
1830,Q9Y6B6
1831,Q8IBN5
1832,P23219
1833,P35354
1834,P0AAJ3
1835,O15146
1836,P62736
1837,P56817
1838,Q969P6
1839,P11387
1840,A0A045KKX4
1841,Q88CZ6
1842,P49286
1843,P41145
1844,P67936
1845,P69908
1846,P9WPQ5
1847,P60900
1848,Q15080
1849,Q9BQB6
1850,P15559
1851,Q08257
1852,O43283
1853,P84887
1854,P01556
1855,P08588
1856,P07550
1857,P13945
1858,P50914
1859,P20815
1860,P77173
1861,P00480
1862,P08244
1863,P15273
1864,P21695
1865,Q13002
1866,P42262
1867,P43681
1868,O00519
1869,P36544
1870,O97313
1871,Q8P8J2
1872,Q8T6S0
1873,Q02127
1874,Q14289
1875,P35869
1876,Q9HBH5
1877,Q701N4
1878,P36275
1879,Q12809
1880,P26358
1881,P11509
1882,P24311
1883,Q5KUI2
